date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:52	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:58%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3048	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index3281.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:54	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:59%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3059	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index388f.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:54	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:58%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3049	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index3b01.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:54	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:59%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3065	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/indexf33f.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:54	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:00%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3056	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/index9065.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:54	43874/43874	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:08:00%20GMT	http://heyjackass.com/enlightening-commentary/for-the-children/?replytocom=3064	E:/HeyJackass/heyjackass.com/enlightening-commentary/for-the-children/indexdb78.html	(from http://heyjackass.com/enlightening-commentary/for-the-children/)
16:07:55	2269/2269	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:08:00%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fsafe-passage-inspectors%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed696c.json	(from http://heyjackass.com/enlightening-commentary/safe-passage-inspectors/)
16:07:55	785/785	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/safe-passage-inspectors/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/safe-passage-inspectors/feed/index.html	(from http://heyjackass.com/enlightening-commentary/safe-passage-inspectors/)
16:07:56	2350/2350	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:08:02%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fsafe-passage-inspectors%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed550d	(from http://heyjackass.com/enlightening-commentary/safe-passage-inspectors/)
16:07:57	2205/2205	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:08:03%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fweekend-wrap-up-12%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed0981.json	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-12/)
